Banco de México,,,,
,,,,
Tasas y precios de referencia,,,,
Valores Públicos,,,,
,,,,
Fecha de consulta: 19/05/2020 01:31:49,,,,
,,,,
,,,,
,,,,
Título,TIIE a 1 dia ,"TIIE a 28 días, Tasa de interés promedio mensual, en por ciento anual","Fondeo promedio ponderado bancario, Tasa de interés promedio mensual, en por ciento anual","Cetes 28 días, Tasa de rendimiento promedio mensual, en por ciento anual"
Periodo disponible,Ene 2006 - Abr 2020,Mar 1995 - Abr 2020,Nov 1998 - Abr 2020,Ene 1978 - Abr 2020
Periodicidad,Mensual,Mensual,Mensual,Mensual
Cifra,Porcentajes,Porcentajes,Porcentajes,Porcentajes
Unidad,Porcentajes,Porcentajes,Porcentajes,Porcentajes
Base,,,,
Aviso,,,,
Tipo de información,Niveles,Niveles,Niveles,Niveles
Fecha,SF331450,SF283,SF17863,SF282
01/11/1993,N/E,N/E,N/E,14.38
01/12/1993,N/E,N/E,N/E,11.78
01/01/1994,N/E,N/E,N/E,10.52
01/02/1994,N/E,N/E,N/E,9.45
01/03/1994,N/E,N/E,N/E,9.73
01/04/1994,N/E,N/E,N/E,15.79
01/05/1994,N/E,N/E,N/E,16.36
01/06/1994,N/E,N/E,N/E,16.18
01/07/1994,N/E,N/E,N/E,17.07
01/08/1994,N/E,N/E,N/E,14.46
01/09/1994,N/E,N/E,N/E,13.76
01/10/1994,N/E,N/E,N/E,13.6
01/11/1994,N/E,N/E,N/E,13.74
01/12/1994,N/E,N/E,N/E,18.51
01/01/1995,N/E,N/E,N/E,37.25
01/02/1995,N/E,N/E,N/E,41.69
01/03/1995,N/E,89.48,N/E,69.54
01/04/1995,N/E,85.22,N/E,74.75
01/05/1995,N/E,60.45,N/E,59.17
01/06/1995,N/E,49.5,N/E,47.25
01/07/1995,N/E,43,N/E,40.94
01/08/1995,N/E,37.6,N/E,35.14
01/09/1995,N/E,35.48,N/E,33.46
01/10/1995,N/E,42.61,N/E,40.29
01/11/1995,N/E,57.43,N/E,53.16
01/12/1995,N/E,51.36,N/E,48.62
01/01/1996,N/E,42.66,N/E,40.99
01/02/1996,N/E,40.11,N/E,38.58
01/03/1996,N/E,42.93,N/E,41.45
01/04/1996,N/E,36.61,N/E,35.21
01/05/1996,N/E,30.31,N/E,28.45
01/06/1996,N/E,30.11,N/E,27.81
01/07/1996,N/E,33.49,N/E,31.25
01/08/1996,N/E,29.36,N/E,26.51
01/09/1996,N/E,26.82,N/E,23.9
01/10/1996,N/E,28.68,N/E,25.75
01/11/1996,N/E,32.28,N/E,29.57
01/12/1996,N/E,29.92,N/E,27.23
01/01/1997,N/E,25.96,N/E,23.55
01/02/1997,N/E,22.11,N/E,19.8
01/03/1997,N/E,23.95,N/E,21.66
01/04/1997,N/E,23.98,N/E,21.35
01/05/1997,N/E,20.65,N/E,18.42
01/06/1997,N/E,22.53,N/E,20.17
01/07/1997,N/E,20.5,N/E,18.8
01/08/1997,N/E,20.64,N/E,18.93
01/09/1997,N/E,20.23,N/E,18.02
01/10/1997,N/E,19.7,N/E,17.92
01/11/1997,N/E,22.17,N/E,20.16
01/12/1997,N/E,20.48,N/E,18.85
01/01/1998,N/E,19.74,N/E,17.95
01/02/1998,N/E,20.52,N/E,18.74
01/03/1998,N/E,21.69,N/E,19.85
01/04/1998,N/E,20.55,N/E,19.03
01/05/1998,N/E,19.9,N/E,17.91
01/06/1998,N/E,21.47,N/E,19.5
01/07/1998,N/E,21.88,N/E,20.08
01/08/1998,N/E,25.78,N/E,22.64
01/09/1998,N/E,42.04,N/E,40.8
01/10/1998,N/E,37.65,N/E,34.86
01/11/1998,N/E,34.78,32.46,32.12
01/12/1998,N/E,36.69,34.15,33.66
01/01/1999,N/E,35.8,34.11,32.13
01/02/1999,N/E,32.21,30.26,28.76
01/03/1999,N/E,26.87,25.86,23.47
01/04/1999,N/E,22.54,21.1,20.29
01/05/1999,N/E,22.52,21.16,19.89
01/06/1999,N/E,23.6,22.02,21.08
01/07/1999,N/E,22.11,20.61,19.78
01/08/1999,N/E,23.13,20.52,20.54
01/09/1999,N/E,22.04,20.24,19.71
01/10/1999,N/E,20.63,18.28,17.87
01/11/1999,N/E,19.01,17.96,16.96
01/12/1999,N/E,18.75,17.24,16.45
01/01/2000,N/E,18.55,17.7,16.19
01/02/2000,N/E,18.15,17.34,15.81
01/03/2000,N/E,15.77,14.89,13.66
01/04/2000,N/E,14.74,14.08,12.93
01/05/2000,N/E,15.92,14.95,14.18
01/06/2000,N/E,17.44,16.58,15.65
01/07/2000,N/E,15.13,14.11,13.73
01/08/2000,N/E,16.62,16.3,15.23
01/09/2000,N/E,16.77,15.96,15.06
01/10/2000,N/E,17.38,16.45,15.88
01/11/2000,N/E,18.64,17.92,17.56
01/12/2000,N/E,18.39,17.66,17.05
01/01/2001,N/E,18.62,17.7,17.89
01/02/2001,N/E,18.12,17.45,17.34
01/03/2001,N/E,17.28,16.68,15.8
01/04/2001,N/E,16.36,15.81,14.96
01/05/2001,N/E,14.09,13.2,11.95
01/06/2001,N/E,11.64,10.87,9.43
01/07/2001,N/E,11.1,9.87,9.39
