Cuadro II.2,,,,
Salarios en el IMSS 1 2,,,,
(Pesos por día),,,,
Periodo,Salario diario asociado a cotizantes,Salario diario asociado a trabajadores asegurados,,
,,Total,Hombres,Mujeres
Octubre,247.63,258.60 ,271.72 ,235.67 
Noviembre,248.52,259.88 ,273.28 ,236.52 
Diciembre,248.16,260.54 ,273.92 ,237.22 
2012,260.06,270.82 ,284.76 ,246.18 
Enero,260.47,271.03 ,285.09 ,246.36 
Febrero,259.95,270.57 ,284.33 ,246.39 
Marzo,258.37,268.43 ,281.63 ,245.23 
Abril,258.39,268.76 ,282.05 ,245.43 
Mayo,261.21,271.63 ,286.00 ,246.11 
Junio,260.44,270.67 ,285.10 ,245.06 
Julio,263.66,274.23 ,288.84 ,248.20 
Agosto,262.79,273.73 ,287.91 ,248.46 
Septiembre,259.61,270.12 ,284.03 ,245.41 
Octubre,258.34,269.61 ,283.13 ,245.66 
Noviembre,258.85,270.14 ,283.96 ,245.72 
Diciembre,258.62,270.91 ,284.99 ,246.13 
2013,270.17,281.52 ,295.76 ,256.70 
Enero,271.85,282.55 ,297.17 ,256.69 
Febrero,271.14,282.18 ,296.53 ,257.08 
Marzo,269.16,279.96 ,293.74 ,255.93 
Abril,269.14,279.90 ,293.48 ,256.19 
Mayo,271.58,282.08 ,296.76 ,256.51 
Junio,270.85,281.63 ,296.42 ,255.97 
Julio,272.86,284.02 ,298.75 ,258.38 
Agosto,272.17,283.67 ,298.15 ,258.50 
Septiembre,269.12,280.66 ,294.68 ,256.33 
Octubre,267.79,279.52 ,293.27 ,255.66 
Noviembre,268.40,280.46 ,294.45 ,255.98 
Diciembre,268.09,281.66 ,295.67 ,257.15 
2014,282.09,294.10 ,308.57 ,268.70 
Enero,282.32,293.90 ,308.41 ,268.39 
Febrero,281.95,293.87 ,308.19 ,268.70 
Marzo,280.10,291.64 ,305.56 ,267.21 
Abril,280.28,292.35 ,306.26 ,267.92 
Mayo,283.27,294.63 ,309.59 ,268.37 
Junio,282.59,294.16 ,309.14 ,267.92 
Julio,285.78,297.72 ,312.76 ,271.25 
Agosto,284.77,296.84 ,311.69 ,270.71 
Septiembre,281.56,293.42 ,307.62 ,268.45 
Octubre,280.04,291.94 ,305.90 ,267.36 
Noviembre,281.46,294.03 ,308.45 ,268.74 
Diciembre,280.93,294.70 ,309.21 ,269.32 
2015,294.02,306.40 ,320.96 ,280.88 
Enero,294.45,306.63 ,321.05 ,281.25 
Febrero,293.45,306.14 ,320.36 ,281.07 
Marzo,292.34,303.78 ,317.81 ,279.07 
Abril,292.12,304.03 ,317.98 ,279.48 
Mayo,295.88,307.47 ,322.65 ,280.83 
Junio,294.51,306.29 ,321.39 ,279.80 
Julio,298.33,310.41 ,325.49 ,283.91 
Agosto,296.68,309.86 ,324.55 ,284.09 
Septiembre,293.55,305.28 ,319.72 ,280.02 
Octubre,291.62,304.26 ,318.54 ,279.34 
Noviembre,293.28,305.95 ,320.44 ,280.73 
Diciembre,292.05,306.69 ,321.54 ,280.96 
2016,,317.93 ,332.77 ,292.28 
Enero,,318.23 ,333.27 ,292.00 
Febrero,,317.69 ,332.41 ,292.02 
Marzo,,315.55 ,329.88 ,290.64 
Abril,,314.76 ,329.00 ,290.05 
Mayo,,319.59 ,334.69 ,293.44 
Junio,,318.80 ,333.91 ,292.72 
Julio,,321.77 ,337.19 ,295.08 
Agosto,,320.85 ,335.83 ,294.95 
Septiembre,,316.57 ,331.25 ,291.29 
Octubre,,315.27 ,329.88 ,290.20 
Noviembre,,317.39 ,332.15 ,292.11 
Diciembre,,318.65 ,333.76 ,292.88 
2017,,333.23 ,349.11 ,306.20 
Enero,,331.14 ,346.51 ,304.78 
Febrero,,331.43 ,346.74 ,305.18 
Marzo,,329.73 ,344.88 ,303.77 
Abril,,330.10 ,345.41 ,303.96 
Mayo,,335.59 ,351.70 ,308.14 
Junio,,334.21 ,350.49 ,306.54 
Julio,,337.37 ,354.10 ,308.86 
Agosto,,336.24 ,352.76 ,308.12 
Septiembre,,332.39 ,348.29 ,305.42 
Octubre,,331.29 ,346.97 ,304.74 
Noviembre,,333.01 ,348.95 ,306.07 
Diciembre,,336.26 ,352.57 ,308.82 
2018,,352.21 ,369.72 ,322.88 
Enero,,348.11 ,364.67 ,320.05 
Febrero,,349.38 ,366.21 ,320.88 
Marzo,,349.31 ,365.73 ,321.62 
Abril,,349.37 ,365.69 ,321.85 
Mayo,,353.83 ,371.47 ,324.17 
Junio,,353.45 ,371.45 ,323.33 
Julio,,357.43 ,375.85 ,326.52 
Agosto,,356.15 ,374.28 ,325.76 
Septiembre,,351.80 ,369.56 ,322.15 
Octubre,,350.62 ,368.26 ,321.26 
Noviembre,,352.70 ,370.66 ,322.98 
Diciembre,,354.35 ,372.79 ,323.97 
2019,,375.71 ,395.14 ,343.96 
Enero,,372.27 ,390.89 ,341.41 
Febrero,,373.60 ,392.34 ,342.54 
Marzo,,372.83 ,391.10 ,342.69 
Abril,,373.70 ,391.98 ,343.61 
Mayo,,377.49 ,397.05 ,345.44 
Junio,,376.63 ,396.30 ,344.48 
Julio,,380.72 ,401.27 ,347.08 
Agosto,,379.67 ,400.23 ,346.16 
Septiembre,,374.46 ,394.15 ,342.47 
Octubre,,373.22 ,392.68 ,341.69 
Noviembre,,375.78 ,395.42 ,344.07 
Diciembre,,378.13 ,398.22 ,345.87 
2020,,,,
Enero,,396.18 ,416.40 ,363.50 
Febrero,,397.62 ,417.77 ,365.08 
Marzo,,399.28 ,419.37 ,366.95 
"Nota:  A partir de enero de 2016 el IMSS dejó de publicar el salario diario asociado a cotizantes, por lo que se mantendrá vigente el asociado a trabajadores. Los datos anuales son un promedio aritmético de los doce meses.",,,,
"1 Debido a que la estadística oficial de empleo asegurado del IMSS refiere a trabajadores asegurados, a partir de marzo de 2013 la cifra de salario será aquella asociada a este mismo grupo de trabajadores. Anteriormente se proporcionaban dos cifras de salario, la asociada a cotizantes y la relativa a trabajadores (en mayo de 2013 la diferencia entre estos dos salarios es de $10.5, con el salario de trabajadores mayor al de cotizantes).",,,,
"2 El salario diario de trabajadores se refiere al salario registrado en las modalidades de aseguramiento 10 (trabajadores permanentes y eventuales de la ciudad), 13 (trabajadores permanentes y eventuales del campo), 14 (trabajadores eventuales del campo cañero), 17 (reversión de cuotas por subrogación de servicios), 34 (trabajadores domésticos), 36 (trabajadores al servicio de los gobiernos), 38 (trabajadores estatales y municipales)  y 42 (trabajadores de la administración pública de la federación, entidades federativas y municipios). Incluyendo además a los trabajadores asociados al IMSS como empleador. Por su parte, el salario diario asociado a cotizantes se refiere al salario registrado exclusivamente en las modalidades 10, 13 y 17, excluyendo información salarial de los trabajadores asociados al IMSS como empleador. Finalmente, el salario diario de trabajadores, al igual que la estadística del empleo asegurado en el IMSS, se refiere a lo registrado al día último de mes, mientras que el salario diario de cotizantes considera los salarios percibidos durante el mes (del primer al último día), así como los días cotizados en cada salario.",,,,
Fuente: IMSS.,,,,
,,,,
